Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/434.4548f56e.chunk.js HTTP/1.1" 200 68767 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/893.2cf6c964.chunk.js HTTP/1.1" 200 32158 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/467.d4e8fb6b.chunk.js HTTP/1.1" 200 22751 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/css/editor.b6c76eb2.chunk.css HTTP/1.1" 200 1412 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/475.0306ec90.chunk.js HTTP/1.1" 200 29303 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/771.5b2ca45e.chunk.js HTTP/1.1" 200 8956 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/411.379444c7.chunk.js HTTP/1.1" 200 352441 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/693.7c912d0c.chunk.js HTTP/1.1" 200 22345 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/media/appsmith_logo_square.3867b1959653dabff8dc.png HTTP/1.1" 200 10636 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/editor.bab2c86d.chunk.js HTTP/1.1" 200 143292 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /static/js/rte.833c8ce5.chunk.js HTTP/1.1" 200 6877 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
